Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG4052,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG1169,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6297,6.2 ± 0.7,6.2 ± 0.4,5.9 ± 0.3,5.5 ± 0.2,5.6 ± 0.2,6.7 ± 0.9,7.4 ± 0.4,9.1 ± 1.1,5.6 ± 0.4,6.6 ± 0.0
CG44314,0.2 ± 0.1,0.3 ± 0.1,0.0 ± 0.0,0.4 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1
CG31687,1.0 ± 0.3,1.2 ± 0.0,0.5 ± 0.0,0.6 ± 0.0,0.5 ± 0.1,0.6 ± 0.0,1.0 ± 0.1,0.9 ± 0.3,0.6 ± 0.1,0.8 ± 0.1
CG42269,0.5 ± 0.1,0.6 ± 0.1,2.5 ± 0.6,2.1 ± 0.4,1.4 ± 0.6,1.6 ± 0.4,0.7 ± 0.3,0.3 ± 0.3,0.2 ± 0.1,0.6 ± 0.4
CG12330,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.2 ± 0.1,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
CG14438,7.7 ± 0.9,7.9 ± 0.1,3.6 ± 0.6,2.6 ± 0.8,4.4 ± 0.3,5.1 ± 1.1,3.6 ± 0.2,3.0 ± 0.6,5.1 ± 0.8,4.4 ± 0.1
CG3395,236 ± 49,189 ± 10.0,834 ± 129,454 ± 72,857 ± 26,387 ± 47,763 ± 87,488 ± 110,493 ± 41,557 ± 64
CG13359,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.3,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.4,0.0 ± 0.0,0.1 ± 0.0
CG5044,6.5 ± 0.5,6.2 ± 0.2,37 ± 3.6,49 ± 6.2,16 ± 0.2,13 ± 1.2,55 ± 4.4,55 ± 11,14 ± 0.7,20 ± 0.2
CG17540,19 ± 0.5,18 ± 1.1,11 ± 0.1,13 ± 0.9,13 ± 0.2,14 ± 1.2,14 ± 1.4,14 ± 2.5,16 ± 2.3,16 ± 0.2
CG7013,16 ± 0.5,15 ± 0.3,30 ± 4.1,29 ± 4.1,27 ± 2.7,22 ± 2.8,25 ± 6.7,22 ± 4.9,67 ± 1.2,50 ± 8.9
CG30343,0.6 ± 0.2,0.6 ± 0.2,0.3 ± 0.2,0.4 ± 0.2,0.2 ± 0.0,0.2 ± 0.0,0.1 ± 0.2,0.2 ± 0.2,0.2 ± 0.3,0.1 ± 0.2
CG31036,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.1,0.2 ± 0.1,4.3 ± 0.0,4.2 ± 0.8,0.0 ± 0.0,0.0 ± 0.0,5.5 ± 1.3,11 ± 1.4
