Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG12379,3.1 ± 0.4,4.2 ± 0.9,4.1 ± 0.5,3.8 ± 0.4,4.4 ± 0.2,4.4 ± 0.0,5.5 ± 0.3,7.8 ± 2.0,3.2 ± 0.4,3.2 ± 0.4
CG11180,1.7 ± 0.2,1.6 ± 0.4,5.8 ± 1.3,2.8 ± 0.5,2.8 ± 0.1,1.6 ± 0.3,3.6 ± 0.8,2.4 ± 0.5,4.8 ± 1.4,2.4 ± 0.6
CG11274,8.9 ± 0.7,10 ± 0.3,4.1 ± 0.4,3.2 ± 0.1,7.8 ± 0.6,9.1 ± 1.4,3.5 ± 0.5,3.3 ± 0.8,4.4 ± 1.5,4.3 ± 0.1
CG12923,2.5 ± 0.2,2.6 ± 0.3,1.0 ± 0.0,1.5 ± 0.2,1.1 ± 0.1,1.3 ± 0.0,3.2 ± 1.2,3.4 ± 0.7,0.8 ± 0.1,1.5 ± 0.3
CG4443,20 ± 0.4,19 ± 0.5,33 ± 4.8,41 ± 2.7,28 ± 1.2,26 ± 3.6,38 ± 9.2,43 ± 8.3,30 ± 2.1,38 ± 2.6
CG41128,250 ± 45,223 ± 11,267 ± 13,573 ± 117,220 ± 4.7,201 ± 24,422 ± 282,332 ± 114,144 ± 44,224 ± 20
CG7865,5.7 ± 0.3,5.7 ± 0.3,14 ± 1.4,13 ± 0.3,13 ± 0.2,13 ± 0.2,13 ± 1.8,12 ± 2.6,13 ± 0.2,13 ± 1.6
CG3915,4.3 ± 0.7,4.7 ± 0.4,0.2 ± 0.1,0.2 ± 0.0,0.4 ± 0.0,0.4 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0
CG32260,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG9123,6.8 ± 1.1,5.9 ± 0.2,0.6 ± 0.3,0.6 ± 0.3,1.2 ± 0.2,1.0 ± 0.1,0.2 ± 0.1,0.3 ± 0.3,0.7 ± 0.5,0.3 ± 0.0
CG5721,8.7 ± 0.1,8.1 ± 0.5,9.3 ± 0.3,11 ± 1.4,11 ± 0.4,11 ± 1.3,15 ± 0.8,16 ± 1.7,14 ± 0.7,17 ± 1.7
CG15818,0.0 ± 0.0,0.0 ± 0.0,4.1 ± 4.0,1.4 ± 1.3,0.4 ± 0.4,0.1 ± 0.0,16 ± 7.4,8.4 ± 2.1,0.2 ± 0.3,3.6 ± 3.4
CG13956,6.9 ± 0.6,6.9 ± 0.2,5.4 ± 0.8,3.7 ± 0.4,6.1 ± 0.3,6.5 ± 0.3,5.5 ± 0.6,4.1 ± 0.0,18 ± 0.7,22 ± 1.4
CG18550,0.9 ± 0.4,0.4 ± 0.1,7.1 ± 2.5,5.6 ± 0.8,4.9 ± 0.4,3.7 ± 0.7,0.3 ± 0.1,0.5 ± 0.2,0.9 ± 0.0,1.3 ± 0.1
CG5079,5.9 ± 0.8,7.1 ± 1.2,0.2 ± 0.2,0.3 ± 0.2,1.5 ± 0.2,1.2 ± 0.2,0.3 ± 0.3,0.3 ± 0.2,0.4 ± 0.1,0.8 ± 0.0
CG11881,1.2 ± 0.2,1.4 ± 0.2,1.4 ± 0.8,0.5 ± 0.1,1.2 ± 0.1,1.0 ± 0.1,0.3 ± 0.2,0.2 ± 0.1,3.2 ± 2.5,0.3 ± 0.1
CG30122,10 ± 1.0,12 ± 0.2,9.2 ± 0.2,7.1 ± 0.8,8.8 ± 0.5,9.5 ± 0.5,9.0 ± 1.0,9.9 ± 1.8,9.1 ± 0.8,11 ± 0.0
CG40228,98 ± 8.8,91 ± 4.6,36 ± 5.3,47 ± 9.1,63 ± 1.9,63 ± 3.8,60 ± 26,53 ± 8.8,40 ± 4.9,47 ± 8.2
CG44252,0.1 ± 0.0,0.1 ± 0.0,0.3 ± 0.1,12 ± 0.6,1.4 ± 0.1,1.9 ± 0.0,0.1 ± 0.0,0.3 ± 0.3,0.2 ± 0.1,1.1 ± 0.9
CG7075,0.4 ± 0.1,0.3 ± 0.0,0.2 ± 0.1,1.8 ± 1.1,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,1.2 ± 1.8,0.0 ± 0.0,0.4 ± 0.1
CG6433,0.2 ± 0.1,0.2 ± 0.2,2.5 ± 2.1,5.0 ± 1.4,0.5 ± 0.0,0.4 ± 0.1,0.6 ± 0.7,0.7 ± 1.0,9.9 ± 4.3,17 ± 0.1
CG7242,0.2 ± 0.1,0.3 ± 0.1,1.4 ± 1.3,0.4 ± 0.2,0.2 ± 0.0,0.1 ± 0.0,0.4 ± 0.5,0.0 ± 0.0,4.5 ± 4.1,0.2 ± 0.2
CG4427,18 ± 1.6,15 ± 1.4,39 ± 11,44 ± 12,29 ± 0.1,28 ± 1.6,49 ± 9.6,55 ± 12,25 ± 0.1,35 ± 0.4
CG11513,1.6 ± 0.2,2.0 ± 0.2,4.3 ± 2.1,1.7 ± 0.4,1.7 ± 0.1,2.5 ± 0.2,1.1 ± 0.5,1.5 ± 0.2,4.8 ± 2.6,1.7 ± 0.4
CG1380,0.7 ± 0.1,0.8 ± 0.2,0.0 ± 0.0,2.7 ± 1.2,0.1 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,2.3 ± 3.4,0.2 ± 0.2,0.9 ± 0.3
CG1980,0.1 ± 0.2,0.2 ± 0.2,0.0 ± 0.0,9.5 ± 7.4,0.0 ± 0.0,0.3 ± 0.1,0.4 ± 0.6,9.3 ± 14,0.0 ± 0.0,2.6 ± 1.4
CG10789,0.1 ± 0.2,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.2 ± 0.0,0.0 ± 0.0,0.2 ± 0.4,0.2 ± 0.4,0.2 ± 0.2
CG15920,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.0,0.5 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6132,0.3 ± 0.2,0.2 ± 0.2,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,10 ± 18,0.1 ± 0.2,0.2 ± 0.0,0.3 ± 0.5
CG16742,3.1 ± 0.6,3.3 ± 0.1,1.8 ± 0.2,1.3 ± 0.2,3.0 ± 0.2,3.6 ± 0.6,2.8 ± 0.3,2.9 ± 0.5,1.9 ± 0.2,1.7 ± 0.2
CG5904,8.8 ± 0.8,8.3 ± 0.2,12 ± 1.1,11 ± 0.7,9.9 ± 0.3,7.7 ± 0.0,8.7 ± 1.9,7.7 ± 2.3,8.1 ± 1.5,8.9 ± 0.7
CG6578,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.2,0.4 ± 0.1,0.8 ± 0.0,0.7 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,0.2 ± 0.0
CG14459,23 ± 5.1,26 ± 1.8,0.6 ± 0.6,0.8 ± 0.5,1.2 ± 0.2,1.2 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.2 ± 0.0,0.3 ± 0.1
CG7881,0.0 ± 0.0,0.1 ± 0.0,0.9 ± 0.2,1.6 ± 0.6,0.1 ± 0.0,0.2 ± 0.0,141 ± 14,117 ± 13,0.1 ± 0.0,0.3 ± 0.2
CG4084,1.8 ± 0.2,1.5 ± 0.1,3.1 ± 0.6,2.4 ± 0.3,5.4 ± 0.0,5.6 ± 0.4,1.9 ± 0.9,1.4 ± 0.5,6.2 ± 0.2,8.2 ± 0.6
CG9799,2.8 ± 0.2,2.5 ± 0.1,8.0 ± 0.6,3.4 ± 0.4,5.8 ± 0.0,3.7 ± 0.0,5.0 ± 1.6,3.7 ± 0.6,6.0 ± 2.3,4.9 ± 0.3
CG14534,0.3 ± 0.2,0.2 ± 0.1,3.6 ± 1.2,5.0 ± 1.8,2.5 ± 0.2,2.8 ± 0.3,0.1 ± 0.1,0.2 ± 0.2,0.4 ± 0.0,1.2 ± 0.0
CG5770,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.2,0.2 ± 0.2,0.1 ± 0.0,0.2 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.0 ± 0.0
CG14077,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,2.2 ± 1.7,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.6 ± 2.4,0.0 ± 0.0,0.3 ± 0.2
CG32675,12 ± 0.8,13 ± 0.5,13 ± 1.0,13 ± 1.0,19 ± 2.2,23 ± 3.6,19 ± 1.2,19 ± 2.2,15 ± 2.2,16 ± 0.2
CG3911,10 ± 0.4,9.9 ± 0.8,8.9 ± 0.9,10 ± 1.0,7.7 ± 0.6,7.6 ± 0.8,7.8 ± 1.1,7.1 ± 1.4,9.1 ± 1.0,8.3 ± 1.3
CG13527,0.6 ± 0.1,0.4 ± 0.1,0.0 ± 0.0,0.9 ± 0.9,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,1.3 ± 2.0,0.0 ± 0.0,0.2 ± 0.2
CG9871,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.8 ± 0.8,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.6,0.0 ± 0.0,0.3 ± 0.3
CG14840,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.7,0.0 ± 0.0,0.0 ± 0.0
CG5254,9.5 ± 1.8,7.7 ± 0.7,15 ± 3.2,18 ± 2.7,28 ± 0.2,21 ± 3.0,103 ± 15,101 ± 24,11 ± 1.6,32 ± 5.6
CG14095,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG8246,0.8 ± 0.2,0.8 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.1,0.3 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG10981,8.7 ± 1.1,9.4 ± 0.5,5.0 ± 1.2,3.7 ± 0.6,4.1 ± 0.6,4.4 ± 0.2,4.2 ± 0.4,4.5 ± 0.6,6.1 ± 2.6,3.5 ± 0.2
CG4793,1.0 ± 0.2,1.2 ± 0.2,0.0 ± 0.1,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1
CG3056,17 ± 3.3,23 ± 1.2,5.4 ± 0.3,5.8 ± 0.8,10 ± 0.3,14 ± 1.3,5.5 ± 0.8,6.2 ± 0.5,7.4 ± 0.6,11 ± 0.4
CG6637,5.5 ± 0.6,5.2 ± 0.2,6.0 ± 0.4,6.7 ± 1.0,8.0 ± 0.7,8.1 ± 0.1,6.2 ± 0.4,6.9 ± 1.5,8.4 ± 0.5,11 ± 0.1
CG43101,1.6 ± 0.8,1.8 ± 0.3,0.2 ± 0.2,180 ± 93,0.3 ± 0.5,2.0 ± 2.0,0.8 ± 1.4,1.0 ± 1.0,0.0 ± 0.0,1.1 ± 0.8
CG8442,15 ± 1.7,15 ± 0.2,0.4 ± 0.3,0.6 ± 0.2,1.2 ± 0.0,1.2 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.3 ± 0.0
CG4478,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,7.6 ± 5.4,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,7.3 ± 11,0.0 ± 0.0,1.3 ± 1.1
CG43055,1.0 ± 0.2,1.1 ± 0.3,1.1 ± 1.1,1.6 ± 1.7,0.4 ± 0.2,0.7 ± 0.4,0.0 ± 0.0,2.8 ± 2.3,0.1 ± 0.0,0.2 ± 0.0
CG9761,5.4 ± 0.5,5.3 ± 0.3,8.9 ± 1.0,6.9 ± 0.8,4.4 ± 0.0,4.8 ± 0.4,25 ± 5.9,24 ± 3.7,68 ± 4.0,104 ± 17
CG14852,0.0 ± 0.1,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.1,0.3 ± 0.2,0.4 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1
CG7222,25 ± 1.5,25 ± 0.1,13 ± 0.7,13 ± 1.6,18 ± 0.5,19 ± 0.2,15 ± 1.2,13 ± 1.7,13 ± 2.5,14 ± 1.8
CG33182,23 ± 0.5,22 ± 0.3,3.6 ± 0.3,4.2 ± 0.2,11 ± 0.0,12 ± 1.7,6.9 ± 2.0,8.4 ± 3.1,5.2 ± 1.2,5.4 ± 0.2
CG16857,40 ± 3.2,37 ± 2.4,5.0 ± 1.5,6.1 ± 0.7,147 ± 11,178 ± 13,0.3 ± 0.2,0.3 ± 0.3,1.1 ± 0.0,2.3 ± 0.4
CG9543,10 ± 1.6,9.0 ± 0.4,19 ± 3.8,19 ± 0.3,26 ± 1.2,21 ± 1.0,27 ± 2.1,22 ± 4.4,56 ± 0.4,54 ± 8.6
CG11374,7.8 ± 1.7,11 ± 0.5,1.8 ± 0.1,1.6 ± 0.5,2.6 ± 0.3,3.8 ± 0.9,1.6 ± 0.9,1.6 ± 0.4,1.7 ± 0.4,2.3 ± 0.7
CG14817,19 ± 2.0,20 ± 1.7,27 ± 5.0,34 ± 8.6,25 ± 1.4,26 ± 5.2,32 ± 14,27 ± 9.1,14 ± 1.0,18 ± 0.6
CG2707,0.1 ± 0.1,0.2 ± 0.1,3.8 ± 3.4,0.1 ± 0.1,0.3 ± 0.2,0.4 ± 0.2,1.2 ± 1.1,1.3 ± 0.4,8.8 ± 6.3,0.5 ± 0.4
CG5266,20 ± 1.2,19 ± 1.8,101 ± 16,111 ± 6.1,49 ± 1.0,49 ± 6.6,72 ± 4.8,64 ± 13,44 ± 14,44 ± 2.0
CG31224,9.6 ± 1.6,11 ± 0.5,4.1 ± 0.6,3.8 ± 0.4,7.6 ± 0.5,9.9 ± 1.2,5.6 ± 0.9,5.3 ± 0.8,7.5 ± 2.4,7.6 ± 0.4
CG45095,0.3 ± 0.1,0.2 ± 0.1,0.1 ± 0.1,0.0 ± 0.0,0.2 ± 0.0,0.4 ± 0.1,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.1,0.2 ± 0.0
CG5583,0.4 ± 0.1,0.2 ± 0.1,7.9 ± 1.8,7.3 ± 0.8,9.2 ± 0.4,8.7 ± 0.7,0.4 ± 0.0,0.1 ± 0.1,0.6 ± 0.2,2.1 ± 0.4
CG11369,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.5,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.5,0.0 ± 0.0,0.2 ± 0.1
CG3679,0.1 ± 0.1,0.2 ± 0.1,2.0 ± 1.9,0.3 ± 0.2,0.2 ± 0.0,0.3 ± 0.0,1.4 ± 0.7,1.1 ± 0.5,5.6 ± 5.0,0.5 ± 0.3
CG3411,3.0 ± 0.1,3.2 ± 0.2,2.8 ± 0.1,2.6 ± 0.5,2.2 ± 0.1,2.6 ± 0.2,2.4 ± 0.2,2.6 ± 0.5,2.4 ± 0.9,2.4 ± 0.3
CG14145,6.6 ± 0.3,6.2 ± 0.2,6.4 ± 0.7,7.6 ± 1.4,8.4 ± 0.4,8.4 ± 0.1,6.4 ± 0.6,7.2 ± 0.8,8.4 ± 0.1,8.2 ± 0.4
CG4656,8.3 ± 0.8,8.7 ± 0.2,5.3 ± 0.1,3.9 ± 0.5,4.9 ± 0.1,4.9 ± 0.2,6.3 ± 0.7,6.1 ± 0.4,7.1 ± 1.8,7.6 ± 0.4
CG6844,19 ± 1.7,22 ± 1.1,0.6 ± 0.2,1.1 ± 0.4,1.6 ± 0.2,1.5 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.0,0.3 ± 0.1
CG15115,0.1 ± 0.1,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.2
CG14424,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11018,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,2.5 ± 1.4,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,1.5 ± 2.1,0.0 ± 0.1,0.3 ± 0.3
CG7975,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,2.2 ± 2.2,0.0 ± 0.0,0.2 ± 0.2,0.2 ± 0.3,2.8 ± 4.6,0.0 ± 0.0,0.6 ± 0.3
CG3016,17 ± 1.2,16 ± 0.6,9.6 ± 0.9,9.9 ± 0.6,17 ± 0.0,16 ± 0.3,13 ± 3.4,13 ± 2.3,7.1 ± 1.8,9.7 ± 0.7
CG7861,16 ± 0.9,17 ± 1.3,9.6 ± 1.5,11 ± 0.2,11 ± 0.7,14 ± 0.5,8.9 ± 1.3,8.7 ± 0.9,9.9 ± 0.6,13 ± 1.1
CG15356,2.7 ± 0.4,2.9 ± 0.2,1.8 ± 0.3,1.3 ± 0.2,2.0 ± 0.1,2.1 ± 0.4,1.4 ± 0.3,1.3 ± 0.2,2.0 ± 0.9,1.7 ± 0.2
CG14243,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG6398,0.8 ± 0.2,0.6 ± 0.4,16 ± 0.4,14 ± 0.7,24 ± 2.2,23 ± 0.8,2.4 ± 0.9,1.6 ± 0.9,21 ± 3.0,24 ± 0.1
CG15266,3.9 ± 0.6,3.7 ± 0.6,2.7 ± 0.3,2.0 ± 0.4,3.0 ± 0.6,3.0 ± 0.3,2.4 ± 0.7,3.5 ± 1.2,5.2 ± 1.8,4.5 ± 1.8
CG17509,10 ± 1.1,12 ± 0.9,8.7 ± 0.6,7.2 ± 0.9,8.2 ± 0.3,9.2 ± 0.0,8.6 ± 1.1,8.5 ± 0.7,11 ± 2.8,9.7 ± 0.1
CG32885,0.8 ± 0.2,1.1 ± 1.0,23 ± 19,3.9 ± 0.2,3.9 ± 0.1,2.1 ± 0.4,11 ± 3.9,8.6 ± 2.1,58 ± 39,3.4 ± 0.8
CG30329,0.2 ± 0.0,0.3 ± 0.0,0.0 ± 0.0,1.1 ± 0.8,0.3 ± 0.1,0.8 ± 0.4,0.0 ± 0.0,0.5 ± 0.7,0.0 ± 0.0,0.2 ± 0.1
CG5450,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,4.5 ± 3.3,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,5.1 ± 8.1,0.0 ± 0.0,0.8 ± 0.6
CG9119,3.1 ± 1.2,2.4 ± 0.6,32 ± 14,74 ± 5.8,8.3 ± 0.1,23 ± 11,475 ± 81,622 ± 227,7.5 ± 0.7,33 ± 11
CG3948,25 ± 2.2,22 ± 0.7,27 ± 4.7,29 ± 2.8,36 ± 1.2,30 ± 3.0,42 ± 9.4,39 ± 3.2,98 ± 2.1,84 ± 0.1
CG31098,11 ± 0.2,11 ± 0.8,7.2 ± 0.4,7.1 ± 0.8,6.9 ± 0.5,9.1 ± 0.4,25 ± 3.7,33 ± 7.2,29 ± 4.2,55 ± 3.3
CG31037,7.9 ± 0.9,8.7 ± 0.1,6.0 ± 0.5,5.9 ± 1.2,7.1 ± 0.5,9.4 ± 1.4,6.5 ± 0.1,6.9 ± 0.7,6.4 ± 0.7,8.1 ± 0.5
CG32719,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.5,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.4,0.0 ± 0.0,0.1 ± 0.0
CG1971,1.4 ± 0.2,1.2 ± 0.0,3.7 ± 0.1,7.2 ± 1.5,1.6 ± 0.1,1.5 ± 0.0,1.1 ± 0.3,2.4 ± 2.9,3.2 ± 0.4,4.6 ± 0.4
CG5605,29 ± 2.6,31 ± 2.3,41 ± 1.1,33 ± 1.7,42 ± 1.1,36 ± 1.2,42 ± 3.9,33 ± 6.2,60 ± 0.1,52 ± 2.7
CG8556,5.4 ± 0.2,4.6 ± 0.3,13 ± 2.9,14 ± 0.8,8.3 ± 0.1,8.8 ± 0.8,19 ± 5.4,17 ± 2.0,11 ± 0.5,14 ± 0.1
CG18478,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG5561,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.7 ± 1.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,1.3 ± 1.8,0.0 ± 0.0,0.3 ± 0.1
CG30323,0.6 ± 0.1,0.5 ± 0.2,0.4 ± 0.1,0.0 ± 0.1,0.9 ± 0.0,1.4 ± 0.5,2.7 ± 2.4,4.7 ± 4.8,0.5 ± 0.2,0.6 ± 0.1
CG15695,0.9 ± 0.6,0.2 ± 0.1,4.1 ± 2.3,4.4 ± 0.6,1.7 ± 0.2,1.1 ± 0.4,0.5 ± 0.1,0.8 ± 0.3,1.7 ± 0.4,1.9 ± 0.0
CG43111,1.4 ± 0.8,1.4 ± 0.5,0.3 ± 0.2,8.0 ± 4.2,1.3 ± 0.2,2.6 ± 1.0,0.1 ± 0.1,0.4 ± 0.1,0.8 ± 0.6,1.4 ± 0.8
CG7435,10 ± 1.2,10.0 ± 1.5,3.9 ± 0.2,4.9 ± 0.8,12 ± 0.6,11 ± 0.9,6.2 ± 1.6,6.6 ± 1.8,5.6 ± 2.1,6.2 ± 0.6
CG44247,39 ± 6.8,44 ± 0.8,1.3 ± 0.6,1.7 ± 0.6,19 ± 1.9,26 ± 3.3,0.1 ± 0.1,0.1 ± 0.0,0.3 ± 0.0,0.8 ± 0.4
CG7140,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.2 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.7 ± 1.2,0.0 ± 0.0,0.4 ± 0.2
CG12229,1.4 ± 0.2,1.5 ± 0.2,0.4 ± 0.1,2.8 ± 2.0,0.6 ± 0.1,1.0 ± 0.3,0.3 ± 0.1,2.4 ± 3.2,0.4 ± 0.1,1.0 ± 0.2
CG17486,31 ± 3.1,33 ± 1.5,27 ± 1.2,33 ± 1.2,26 ± 3.7,32 ± 1.1,30 ± 7.7,30 ± 7.2,35 ± 5.1,37 ± 0.4
CG42327,6.3 ± 0.2,7.2 ± 0.1,7.6 ± 1.4,6.7 ± 0.9,8.4 ± 0.3,12 ± 2.4,5.8 ± 0.9,4.9 ± 0.9,5.5 ± 0.0,8.3 ± 0.1
CG14314,13 ± 0.7,14 ± 0.3,0.7 ± 0.2,1.5 ± 0.3,5.7 ± 0.6,8.1 ± 0.2,0.0 ± 0.0,0.2 ± 0.2,0.1 ± 0.1,0.5 ± 0.1
CG31278,4.5 ± 0.3,4.6 ± 0.2,2.7 ± 0.2,3.4 ± 0.7,3.9 ± 0.5,3.4 ± 0.3,5.4 ± 0.8,3.5 ± 0.7,2.7 ± 0.1,3.9 ± 1.0
CG4785,2.2 ± 0.3,2.4 ± 0.1,2.0 ± 0.3,1.6 ± 0.0,3.1 ± 0.1,3.2 ± 0.2,2.0 ± 0.6,1.9 ± 0.5,2.7 ± 0.7,2.6 ± 0.2
CG32570,0.1 ± 0.1,0.2 ± 0.1,0.3 ± 0.2,0.3 ± 0.2,0.3 ± 0.0,0.3 ± 0.2,0.6 ± 0.1,0.6 ± 0.4,0.0 ± 0.0,0.1 ± 0.1
CG7825,2.8 ± 0.2,3.3 ± 0.3,1.8 ± 0.7,1.6 ± 0.1,2.3 ± 0.2,2.6 ± 0.3,2.4 ± 0.6,2.1 ± 0.3,3.9 ± 1.2,2.3 ± 0.2
CG13786,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG18803,11 ± 1.0,11 ± 0.4,10 ± 0.8,9.6 ± 0.2,20 ± 1.1,22 ± 1.8,10 ± 1.8,12 ± 2.5,12 ± 0.4,16 ± 0.8
CG9241,0.1 ± 0.0,0.1 ± 0.1,2.2 ± 1.9,0.3 ± 0.1,0.3 ± 0.1,0.2 ± 0.0,0.5 ± 0.6,0.1 ± 0.2,5.0 ± 3.7,0.4 ± 0.5
CG8505,0.4 ± 0.2,0.4 ± 0.3,41 ± 44,35 ± 6.0,15 ± 0.7,20 ± 0.4,0.2 ± 0.0,0.1 ± 0.0,2.0 ± 1.8,7.9 ± 0.4
CG6668,11 ± 0.4,11 ± 0.2,49 ± 5.4,71 ± 15,27 ± 0.1,26 ± 1.9,19 ± 0.2,18 ± 2.0,35 ± 1.9,36 ± 0.2
CG6579,8.7 ± 2.8,5.5 ± 1.2,111 ± 30,119 ± 12,90 ± 8.3,95 ± 20,4.6 ± 1.4,1.6 ± 0.5,228 ± 47,424 ± 30
CG9947,14 ± 0.8,13 ± 0.3,11 ± 1.3,9.6 ± 1.0,14 ± 0.3,14 ± 2.8,16 ± 1.0,13 ± 2.8,8.5 ± 0.6,10 ± 0.5
CG31127,3.2 ± 0.2,3.2 ± 0.2,5.5 ± 0.1,5.8 ± 0.8,8.9 ± 1.1,12 ± 1.7,1.6 ± 0.0,2.1 ± 0.3,9.6 ± 0.6,14 ± 0.5
CG4599,30 ± 1.0,32 ± 1.8,56 ± 1.8,63 ± 1.6,30 ± 0.2,33 ± 2.7,63 ± 1.4,58 ± 7.7,24 ± 3.4,29 ± 0.5
CG7507,29 ± 2.9,34 ± 0.4,13 ± 1.2,11 ± 2.9,18 ± 0.8,21 ± 2.0,24 ± 6.0,22 ± 6.1,24 ± 2.4,24 ± 0.9
CG7213,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.2 ± 0.1,0.3 ± 0.1,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.1
CG5089,0.1 ± 0.1,0.1 ± 0.1,0.1 ± 0.0,11 ± 7.6,0.0 ± 0.0,0.5 ± 0.1,0.1 ± 0.2,7.5 ± 11,0.1 ± 0.0,2.5 ± 1.4
CG7950,11 ± 0.3,12 ± 0.6,13 ± 0.7,13 ± 0.5,13 ± 1.5,11 ± 0.3,13 ± 1.6,11 ± 4.0,11 ± 1.2,11 ± 0.9
CG4454,0.2 ± 0.1,0.3 ± 0.2,3.3 ± 3.2,0.7 ± 0.0,0.3 ± 0.0,0.2 ± 0.1,0.7 ± 0.7,0.1 ± 0.1,9.8 ± 8.4,0.5 ± 0.6
CG5084,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
